"ticket_id","title","category","priority","department","status","solution","keywords"
"T001","账号无法登录","账号与权限","P2","IT支持组","已解决","检查账号状态并重置密码","login;password;lock"
"T002","VPN连接失败","网络与设备","P2","网络组","已解决","更新客户端并重启网络服务","vpn;network;client"
"T003","申请管理员权限","账号与权限","P1","IT支持组","处理中","等待直属主管审批后开通权限","permission;admin;approval"
"T004","收不到验证码","邮件通知","P2","IT支持组","已解决","检查垃圾邮件和邮件过滤规则","email;code;notification"
"T005","系统返回500错误","系统故障","P1","研发支持组","待分派","收集日志并定位后端异常","500;error;log"
"T006","页面加载很慢","系统故障","P2","研发支持组","处理中","检查数据库和接口响应时间","slow;performance;latency"
"T007","导出数据失败","数据导出","P2","产品支持组","已解决","检查导出权限和数据量限制","export;csv;permission"
"T008","重复扣费申请退款","支付与退款","P1","财务组","已解决","核验订单后原路退款","refund;payment;duplicate"
"T009","无法安装客户端","网络与设备","P2","IT支持组","已解决","以管理员身份重新安装并检查系统版本","install;client;admin"
"T010","打印机无法打印","网络与设备","P3","IT支持组","已解决","清理打印队列并重装驱动","printer;driver;queue"
"T011","工单迟迟未处理","工单流转","P2","客服组","已关闭","确认工单已分派并通知用户","ticket;SLA;delay"
"T012","手机端登录异常","移动端","P2","产品支持组","已解决","清理缓存后重新登录","mobile;login;cache"
"T013","权限变更未生效","账号与权限","P1","IT支持组","处理中","刷新权限缓存并重新同步角色","permission;role;sync"
"T014","邮件审批链接打不开","邮件通知","P2","IT支持组","已解决","更换浏览器并重新发送邮件","email;approval;link"
"T015","订阅到期如何续费","产品咨询","P3","客服组","已解决","说明续费路径和套餐差异","subscription;renewal;plan"
"T016","账号被锁定","账号与权限","P2","IT支持组","已解决","核验身份后解除锁定","lock;account;security"
"T017","无法查看历史工单","工单流转","P3","客服组","已解决","检查当前账号是否有查看权限","history;ticket;view"
"T018","退款申请材料不足","支付与退款","P2","财务组","待用户补充","要求补充订单号和支付凭证","refund;document;receipt"
"T019","内网系统无法打开","网络与设备","P1","网络组","处理中","检查 VPN 和 DNS 配置","intranet;dns;vpn"
"T020","想知道产品支持哪些功能","产品咨询","P3","产品支持组","已解决","发送产品手册和功能概览","feature;manual;faq"
